Kode Produk;Produk;Status Produk Saat Ini;Kode Variasi;Nama Variasi;Pengunjung Produk (Kunjungan);Halaman Produk Dilihat;Pengunjung Melihat Tanpa Membeli;Tingkat Pengunjung Melihat Tanpa Membeli;Klik Pencarian;Suka;Pengunjung Produk (Menambahkan Produk ke Keranjang);Dimasukkan ke Keranjang (Produk);Tingkat Konversi Produk Dimasukkan ke Keranjang;Total Pembeli (Pesanan Dibuat);Produk (Pesanan Dibuat);Total Penjualan (Pesanan Dibuat) (IDR);Tingkat Konversi (Pesanan yang Dibuat);Total Pembeli (Pesanan Siap Dikirim);Produk (Pesanan Siap Dikirim);Penjualan (Pesanan Siap Dikirim) (IDR);Tingkat Konversi (Pesanan Siap Dikirim);Tingkat Konversi (Pesanan Siap Dikirim dibagi Pesanan Dibuat);% Pembelian Ulang (Pesanan Siap Dikirim)
25483232378;CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%;Normal;2,56162E+11;Warna (CMY);0;0;0;0;0;0;7;21;0,00;4;4;556733,00;0,00;4;4;556733,00;0,00;100,00;0,00
25483232378;CATRIDGE HP 680 BLACK / COLOR ORIGINAL 100%;Normal;2,56162E+11;Hitam dan Warna;0;0;0;0;0;0;13;20;0,00;6;7;1958072,00;0,00;6;6;1681522,00;0,00;100,00;0,00
28606096675;Tinta Epson 003 Hitam dan Warna;Normal;0;-;129;220;42;33;117;0;23;34;17,83;7;13;1403233,00;5,43;6;10;885184,00;4,65;85,71;0,00
28606096675;Tinta Epson 003 Hitam dan Warna;Normal;2,41252E+11;Hitam;0;0;0;0;0;0;16;20;0,00;5;7;626684,00;0,00;5;6;539660,00;0,00;100,00;0,00
28606096675;Tinta Epson 003 Hitam dan Warna;Normal;2,41252E+11;Cyan;0;0;0;0;0;0;4;4;0,00;2;3;260215,00;0,00;2;2;173191,00;0,00;100,00;0,00
28606096675;Tinta Epson 003 Hitam dan Warna;Normal;2,41252E+11;Magenta;0;0;0;0;0;0;3;3;0,00;1;1;86167,00;0,00;1;1;86167,00;0,00;100,00;0,00
28606096675;Tinta Epson 003 Hitam dan Warna;Normal;2,41252E+11;Kuning;0;0;0;0;0;0;2;2;0,00;1;1;86167,00;0,00;1;1;86167,00;0,00;100,00;0,00
28606096675;Tinta Epson 003 Hitam dan Warna;Normal;2,41252E+11;Hitam + Warna (CMY);0;0;0;0;0;0;4;5;0,00;1;1;344000,00;0,00;0;0;0,00;0,00;0,00;0,00
27806092548;CATRIDGE HP 682 BLACK / COLOR ORIGINAL 100%;Normal;0;-;35;60;4;11;27;0;12;24;34,29;6;12;2651333,00;17,14;6;10;2041333,00;17,14;100,00;0,00
27806092548;CATRIDGE HP 682 BLACK / COLOR ORIGINAL 100%;Normal;1,97673E+11;Hitam;0;0;0;0;0;0;6;10;0,00;3;5;796452,00;0,00;3;5;796452,00;0,00;100,00;0,00
27806092548;CATRIDGE HP 682 BLACK / COLOR ORIGINAL 100%;Normal;1,97673E+11;Warna (CMY);0;0;0;0;0;0;2;7;0,00;2;2;314484,00;0,00;2;2;314484,00;0,00;100,00;0,00
27806092548;CATRIDGE HP 682 BLACK / COLOR ORIGINAL 100%;Normal;1,97673E+11;Hitam + Warna (CMY);0;0;0;0;0;0;6;7;0,00;2;5;1540397,00;0,00;2;3;930397,00;0,00;100,00;0,00
24383180403;Epson L3210 All In One - Print Scan Copy EcoTank Printer Multifungsi;Normal;0;-;167;252;70;42;152;0;34;43;20,36;3;4;8851903,00;1,80;2;2;4425952,00;1,20;66,67;0,00
29954717517;Mouse Wireless Logitech M170;Normal;0;-;22;45;10;45;12;1;5;7;22,73;2;3;361250,00;9,09;2;2;240500,00;9,09;100,00;0,00
27106039687;Asus VivoBook 14 A416MAO-FHD426 Grey Intel  N4020 8GB 256SSD FHD W11 OHS;Normal;0;-;129;221;58;45;95;0;14;24;10,85;1;2;9346000,00;0,78;0;0;0,00;0,00;0,00;0,00
28155224921;Tinta Data Print Canon DP-40 Hitam/ DP-41 Warna;Normal;0;-;38;74;11;29;33;1;5;10;13,16;2;2;140443,00;5,26;2;2;140443,00;5,26;100,00;0,00
28155224921;Tinta Data Print Canon DP-40 Hitam/ DP-41 Warna;Normal;2,07649E+11;Hitam;0;0;0;0;0;0;1;1;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28155224921;Tinta Data Print Canon DP-40 Hitam/ DP-41 Warna;Normal;2,07649E+11;Warna (CMY);0;0;0;0;0;0;1;1;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28155224921;Tinta Data Print Canon DP-40 Hitam/ DP-41 Warna;Normal;2,07649E+11;Hitam + Warna (CMY);0;0;0;0;0;0;4;8;0,00;2;2;140443,00;0,00;2;2;140443,00;0,00;100,00;0,00
28804814343;CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%;Normal;0;-;12;21;1;8;9;0;4;5;33,33;2;2;304887,00;16,67;2;2;304887,00;16,67;100,00;0,00
28804814343;CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%;Normal;1,95228E+11;Hitam;0;0;0;0;0;0;1;1;0,00;1;1;155653,00;0,00;1;1;155653,00;0,00;100,00;0,00
28804814343;CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%;Normal;1,95228E+11;Warna (CMY);0;0;0;0;0;0;2;2;0,00;1;1;149234,00;0,00;1;1;149234,00;0,00;100,00;0,00
28804814343;CATRIDGE HP 678 BLACK / COLOR ORIGINAL 100%;Normal;1,95228E+11;Hitam dan Warna;0;0;0;0;0;0;2;2;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
24083861305;Kabel Power Printer Wintech 1.2m;Normal;0;-;4;6;2;50;0;0;1;1;25,00;1;1;21000,00;25,00;1;1;21000,00;25,00;100,00;0,00
28206343580;Tinta Canon Pixma 790 Black, Cyan, Magenta, Yellow Original;Normal;0;-;30;50;14;47;28;0;5;8;16,67;1;1;447455,00;3,33;1;1;447455,00;3,33;100,00;0,00
